,host_id,entire_home_apt_16,private_room_16,shared_room_16,entire_home_apt_17,private_room_17,shared_room_17,entire_home_apt_diff,private_room_diff,shared_room_diff,sum_2016,sum_2017
451,57059,0,0,0,0,1,0,0,1,0,0,1
452,57101,3,0,0,2,0,0,-1,0,0,3,1
453,57115,1,0,0,1,0,0,0,0,0,1,2
454,57406,1,0,0,1,0,0,0,0,0,1,1
455,57664,1,0,0,0,1,0,-1,1,0,1,1
456,57805,1,0,2,0,0,0,-1,0,-2,3,1
457,57823,0,1,0,0,0,0,0,-1,0,1,0
458,57877,1,0,0,0,0,0,-1,0,0,1,0
459,57994,1,0,0,1,0,0,0,0,0,1,0
460,58225,0,0,0,0,1,0,0,1,0,0,1
461,58358,0,0,0,1,0,0,1,0,0,0,1
462,58366,1,0,0,0,0,0,-1,0,0,1,1
463,58532,0,0,0,1,0,0,1,0,0,0,0
464,58546,1,0,0,1,0,0,0,0,0,1,1
465,58702,1,0,1,0,0,0,-1,0,-1,2,1
466,58745,1,0,0,1,0,0,0,0,0,1,0
467,58820,0,0,0,0,1,0,0,1,0,0,1
468,58979,0,1,0,0,0,0,0,-1,0,1,1
469,59023,0,1,0,0,1,0,0,0,0,1,0
470,59028,0,1,0,0,0,0,0,-1,0,1,1
471,59172,1,8,0,0,0,0,-1,-8,0,9,0
472,59185,1,0,0,1,0,0,0,0,0,1,0
473,59254,2,0,0,1,0,0,-1,0,0,2,1
474,59358,0,2,0,1,1,0,1,-1,0,2,1
475,59584,1,0,0,0,0,0,-1,0,0,1,2
476,59606,1,0,0,1,0,0,0,0,0,1,0
477,59734,0,2,0,0,2,0,0,0,0,2,1
478,59777,1,8,0,1,6,0,0,-2,0,9,2
479,59865,1,0,0,1,0,0,0,0,0,1,7
480,60038,1,0,0,0,0,0,-1,0,0,1,1
481,60046,1,0,0,1,0,0,0,0,0,1,0
482,60049,1,0,0,0,0,0,-1,0,0,1,1
483,60089,0,1,0,0,1,0,0,0,0,1,0
484,60252,0,1,0,0,1,0,0,0,0,1,1
485,60266,0,0,0,1,1,0,1,1,0,0,1
486,60278,1,0,0,0,0,0,-1,0,0,1,2
487,60736,0,1,0,0,0,0,0,-1,0,1,0
488,60810,0,2,0,0,0,0,0,-2,0,2,0
